Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
20-03-2025,23036.6,23216.7,22973.95,23190.65,313729818,27573.99,1.235616127,0.007720743,22565.8125,22972.006,23434.49884,2025-03,"(0.994, 1.347]",-1%,10%,26104.2,21743.65
21-03-2025,23168.25,23402.7,23132.8,23350.4,540966316,51005.67,0.688855207,0.007842742,22586.6875,22968.484,23433.53218,2025-03,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
24-03-2025,23515.4,23708.75,23433.5,23658.35,311900413,28871.35,1.318821091,0.008290136,22623.9475,22973.021,23436.08693,2025-03,"(0.994, 1.347]",-1%,10%,26104.2,21743.65
25-03-2025,23751.5,23869.6,23601.4,23668.65,338216746,35415.03,0.043536426,0.008143824,22667.585,22984.675,23438.7,2025-03,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
26-03-2025,23700.95,23736.5,23451.7,23486.85,278590831,26877.28,-0.768104645,0.007927802,22714.26,22990.891,23439.235,2025-03,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
27-03-2025,23433.95,23646.45,23412.2,23591.95,510302142,46481.84,0.447484443,0.007925627,22766.48,22998.466,23440.91319,2025-03,"(0.288, 0.641]",-1%,10%,26104.2,21743.65
28-03-2025,23600.4,23649.2,23450.2,23519.35,387455531,29156.37,-0.307732087,0.008000452,22815.195,23002.617,23441.76576,2025-03,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
01-04-2025,23341.1,23565.15,23136.4,23165.7,375118343,30680.7,-1.503655501,0.00753396,22867.245,23001.867,23438.79731,2025-04,"(-1.831, -1.478]",1%,10%,26104.2,21743.65
02-04-2025,23192.6,23350,23158.45,23332.35,340970371,24334.3,0.719382535,0.007583701,22927.8975,23001.619,23437.66489,2025-04,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
03-04-2025,23150.3,23306.5,23145.8,23250.1,283196379,23501.33,-0.352514856,0.0076514,22986.27,23006.128,23435.69053,2025-04,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
04-04-2025,23190.4,23214.7,22857.45,22904.45,466776198,33761.96,-1.486660272,0.008281768,23014.6275,23001.11,23430.15677,2025-04,"(-1.831, -1.478]",1%,10%,26104.2,21743.65
07-04-2025,21758.4,22254,21743.65,22161.6,647107618,49172.14,-3.243256223,0.010976517,22995.4725,22980.235,23417.07887,2025-04,"(-3.25, -2.89]",-2%,10%,26104.2,21743.65
08-04-2025,22446.75,22697.2,22270.85,22535.85,468250807,37226.82,1.688731861,0.011668678,22994.64,22969.108,23408.08673,2025-04,"(1.347, 1.7]",0%,10%,26104.2,22270.85
